id,scam_type,message,description,language,target_info_requested,medium
2667,Fake E-commerce Scam,Get Laptop for just ₹56633. DM on WhatsApp to order now. Prepay to confirm.,"Fraudsters advertise too-good-to-be-true deals, take money, and disappear or send fake products.",English,Online payment,WhatsApp
2668,SIM Card Replacement Scam,"Hi, this is Airtel support. We're upgrading your SIM. Send your Aadhaar and OTP to continue.",The scammer initiates a SIM swap to gain control over the victim's phone number for fraud.,English,"Aadhaar, OTP",WhatsApp
2669,Fake Loan Approval Scam,You are pre-approved for a ₹36193 loan. Pay ₹600 as a processing fee to receive the funds.,Scammers offer fake loans and ask for an upfront processing fee but never provide the loan.,English,Processing fee,WhatsApp
2670,WhatsApp Lottery/Prize Scam,"Congratulations! You've won ₹93581 in the WhatsApp Mega Draw. To claim, send your full name, bank account number, and Aadhaar to 5778962175.",Victims receive fake prize messages and are asked for personal or banking info to claim the prize.,English,"Bank details, Aadhaar card",WhatsApp
2671,Cryptocurrency Investment Scam,Invest ₹9923 in our crypto plan and get ₹91010 in a week. Limited slots!,"Victims are lured with promises of high returns on crypto investments, but the scammers vanish with the money.",English,Initial investment,WhatsApp
2672,Friend in Distress Scam,"Hey, it's Vardaniya. I'm stuck in Phusro and need ₹4673 urgently. Can you UPI me?",Impersonators pretend to be friends in trouble and ask for emergency funds via UPI or bank transfer.,English,UPI transfer,WhatsApp
2673,Friend in Distress Scam,"Hey, it's Raunak. I'm stuck in Alwar and need ₹14888 urgently. Can you UPI me?",Impersonators pretend to be friends in trouble and ask for emergency funds via UPI or bank transfer.,English,UPI transfer,WhatsApp
2674,Fake Charity/Donation Scam,We're raising funds for flood victims in Uttar Pradesh. Please donate what you can to UPI ID: sulejivin@upi,Scammers impersonate charities and request urgent donations via UPI or bank transfer.,English,Donation via UPI,WhatsApp
2675,Fake Loan Approval Scam,You are pre-approved for a ₹26738 loan. Pay ₹407 as a processing fee to receive the funds.,Scammers offer fake loans and ask for an upfront processing fee but never provide the loan.,English,Processing fee,WhatsApp
2676,Fake Job Offer Scam,"Hi, this is Kanav from HR at Sen-Bajwa. You've been shortlisted for a remote role. Pay ₹346 as a registration fee.",Fraudsters pretend to be from well-known companies and ask for money upfront for fake jobs.,English,Payment for registration,WhatsApp
2677,Cryptocurrency Investment Scam,Invest ₹82323 in our crypto plan and get ₹97217 in a week. Limited slots!,"Victims are lured with promises of high returns on crypto investments, but the scammers vanish with the money.",English,Initial investment,WhatsApp
2678,Tax Refund Scam,Your tax refund of ₹85540 is ready. Click here to verify your info: http://chadha-madan.net,Fraudsters impersonate tax authorities and request personal details or payments to process fake refunds.,English,"Bank details, OTP",WhatsApp
2679,Fake E-commerce Scam,Get Smartwatch for just ₹2567. DM on WhatsApp to order now. Prepay to confirm.,"Fraudsters advertise too-good-to-be-true deals, take money, and disappear or send fake products.",English,Online payment,WhatsApp
2680,SIM Card Replacement Scam,"Hi, this is Vi support. We're upgrading your SIM. Send your Aadhaar and OTP to continue.",The scammer initiates a SIM swap to gain control over the victim's phone number for fraud.,English,"Aadhaar, OTP",WhatsApp
2681,Fake Loan Approval Scam,You are pre-approved for a ₹89782 loan. Pay ₹408 as a processing fee to receive the funds.,Scammers offer fake loans and ask for an upfront processing fee but never provide the loan.,English,Processing fee,WhatsApp
2682,Fake Loan Approval Scam,You are pre-approved for a ₹68058 loan. Pay ₹890 as a processing fee to receive the funds.,Scammers offer fake loans and ask for an upfront processing fee but never provide the loan.,English,Processing fee,WhatsApp
2683,Fake Technical Support Scam,This is Drishya from Ram Ltd Support. Your device has malware. Please install TeamViewer and share the code.,Scammers pose as tech support agents to gain remote access and demand payment after pretending to 'fix' fake issues.,English,"Remote access, payment",WhatsApp
2684,UPI Scam,"Your ICICI account is blocked. To unblock, pay ₹25588 to UPI ID: dalalanika@upi.",Scammers impersonate banks and urge victims to make fake urgent payments via UPI.,English,UPI payment,WhatsApp
2685,SIM Card Replacement Scam,"Hi, this is Airtel support. We're upgrading your SIM. Send your Aadhaar and OTP to continue.",The scammer initiates a SIM swap to gain control over the victim's phone number for fraud.,English,"Aadhaar, OTP",WhatsApp
2686,Fake Job Offer Scam,"Hi, this is Rania from HR at De-Wable. You've been shortlisted for a remote role. Pay ₹619 as a registration fee.",Fraudsters pretend to be from well-known companies and ask for money upfront for fake jobs.,English,Payment for registration,WhatsApp
2687,UPI Scam,"Your ICICI account is blocked. To unblock, pay ₹44740 to UPI ID: gulaticharvi@upi.",Scammers impersonate banks and urge victims to make fake urgent payments via UPI.,English,UPI payment,WhatsApp
2688,Fake Discount/Refund Scam,"You are eligible for a ₹27756 refund from Basak, Bains and Lata. Please share your bank details to process it.",Scammers impersonate companies and request bank details to 'process' fake refunds.,English,Bank details,WhatsApp
2689,Fake Job Offer Scam,"Hi, this is Tiya from HR at Saxena-Karpe. You've been shortlisted for a remote role. Pay ₹904 as a registration fee.",Fraudsters pretend to be from well-known companies and ask for money upfront for fake jobs.,English,Payment for registration,WhatsApp
2690,SIM Card Replacement Scam,"Hi, this is Jio support. We're upgrading your SIM. Send your Aadhaar and OTP to continue.",The scammer initiates a SIM swap to gain control over the victim's phone number for fraud.,English,"Aadhaar, OTP",WhatsApp
2691,WhatsApp Account Hacking Scam,"Hey, this is Lakshay. I accidentally sent my OTP to your number. Can you send it to me quickly?",A scammer pretends to be a friend and tricks victims into sharing the OTP meant to hijack their WhatsApp account.,English,OTP,WhatsApp
2692,Friend in Distress Scam,"Hey, it's Samaira. I'm stuck in Mango and need ₹29617 urgently. Can you UPI me?",Impersonators pretend to be friends in trouble and ask for emergency funds via UPI or bank transfer.,English,UPI transfer,WhatsApp
2693,Fake Discount/Refund Scam,You are eligible for a ₹17183 refund from Chada-Mand. Please share your bank details to process it.,Scammers impersonate companies and request bank details to 'process' fake refunds.,English,Bank details,WhatsApp
2694,SIM Card Replacement Scam,"Hi, this is Vi support. We're upgrading your SIM. Send your Aadhaar and OTP to continue.",The scammer initiates a SIM swap to gain control over the victim's phone number for fraud.,English,"Aadhaar, OTP",WhatsApp
2695,Fake Technical Support Scam,"This is Mahika from Kothari, Kala and Ram Support. Your device has malware. Please install TeamViewer and share the code.",Scammers pose as tech support agents to gain remote access and demand payment after pretending to 'fix' fake issues.,English,"Remote access, payment",WhatsApp
2696,Fake Charity/Donation Scam,We're raising funds for flood victims in Gujarat. Please donate what you can to UPI ID: fthaman@upi,Scammers impersonate charities and request urgent donations via UPI or bank transfer.,English,Donation via UPI,WhatsApp
2697,Phishing Scam (Link Sharing),Your HDFC account is at risk. Click here to verify your info: http://vasa-kade.com,Phishing links mimic legitimate websites and trick users into submitting sensitive data.,English,Bank login credentials,WhatsApp
2698,Fake Discount/Refund Scam,"You are eligible for a ₹98907 refund from Vyas, Deo and Bumb. Please share your bank details to process it.",Scammers impersonate companies and request bank details to 'process' fake refunds.,English,Bank details,WhatsApp
2699,Fake Loan Approval Scam,You are pre-approved for a ₹20240 loan. Pay ₹354 as a processing fee to receive the funds.,Scammers offer fake loans and ask for an upfront processing fee but never provide the loan.,English,Processing fee,WhatsApp
2700,WhatsApp Account Hacking Scam,"Hey, this is Rati. I accidentally sent my OTP to your number. Can you send it to me quickly?",A scammer pretends to be a friend and tricks victims into sharing the OTP meant to hijack their WhatsApp account.,English,OTP,WhatsApp
2701,WhatsApp Account Hacking Scam,"Hey, this is Vedika. I accidentally sent my OTP to your number. Can you send it to me quickly?",A scammer pretends to be a friend and tricks victims into sharing the OTP meant to hijack their WhatsApp account.,English,OTP,WhatsApp
2702,Fake Discount/Refund Scam,You are eligible for a ₹81769 refund from Zacharia-Borra. Please share your bank details to process it.,Scammers impersonate companies and request bank details to 'process' fake refunds.,English,Bank details,WhatsApp
2703,SIM Card Replacement Scam,"Hi, this is Vi support. We're upgrading your SIM. Send your Aadhaar and OTP to continue.",The scammer initiates a SIM swap to gain control over the victim's phone number for fraud.,English,"Aadhaar, OTP",WhatsApp
2704,Fake Job Offer Scam,"Hi, this is Devansh from HR at Bora, Brar and Lall. You've been shortlisted for a remote role. Pay ₹638 as a registration fee.",Fraudsters pretend to be from well-known companies and ask for money upfront for fake jobs.,English,Payment for registration,WhatsApp
2705,UPI Scam,"Your ICICI account is blocked. To unblock, pay ₹27626 to UPI ID: dhardhanush@upi.",Scammers impersonate banks and urge victims to make fake urgent payments via UPI.,English,UPI payment,WhatsApp
2706,WhatsApp Account Hacking Scam,"Hey, this is Jhanvi. I accidentally sent my OTP to your number. Can you send it to me quickly?",A scammer pretends to be a friend and tricks victims into sharing the OTP meant to hijack their WhatsApp account.,English,OTP,WhatsApp
2707,Fake Charity/Donation Scam,We're raising funds for flood victims in Uttar Pradesh. Please donate what you can to UPI ID: tanya14@upi,Scammers impersonate charities and request urgent donations via UPI or bank transfer.,English,Donation via UPI,WhatsApp
2708,Tax Refund Scam,Your tax refund of ₹65206 is ready. Click here to verify your info: http://dash.com,Fraudsters impersonate tax authorities and request personal details or payments to process fake refunds.,English,"Bank details, OTP",WhatsApp
2709,Fake Charity/Donation Scam,We're raising funds for flood victims in Uttar Pradesh. Please donate what you can to UPI ID: prerak35@upi,Scammers impersonate charities and request urgent donations via UPI or bank transfer.,English,Donation via UPI,WhatsApp
2710,Cryptocurrency Investment Scam,Invest ₹45784 in our crypto plan and get ₹31432 in a week. Limited slots!,"Victims are lured with promises of high returns on crypto investments, but the scammers vanish with the money.",English,Initial investment,WhatsApp
2711,Tax Refund Scam,Your tax refund of ₹4213 is ready. Click here to verify your info: http://karpe-rout.com,Fraudsters impersonate tax authorities and request personal details or payments to process fake refunds.,English,"Bank details, OTP",WhatsApp
2712,WhatsApp Lottery/Prize Scam,"Congratulations! You've won ₹58293 in the WhatsApp Mega Draw. To claim, send your full name, bank account number, and Aadhaar to +912031496360.",Victims receive fake prize messages and are asked for personal or banking info to claim the prize.,English,"Bank details, Aadhaar card",WhatsApp
2713,Fake Discount/Refund Scam,You are eligible for a ₹99891 refund from Krishnamurthy LLC. Please share your bank details to process it.,Scammers impersonate companies and request bank details to 'process' fake refunds.,English,Bank details,WhatsApp
2714,WhatsApp Lottery/Prize Scam,"Congratulations! You've won ₹46989 in the WhatsApp Mega Draw. To claim, send your full name, bank account number, and Aadhaar to 0562043700.",Victims receive fake prize messages and are asked for personal or banking info to claim the prize.,English,"Bank details, Aadhaar card",WhatsApp
2715,Fake Technical Support Scam,This is Yuvraj  from Dube Inc Support. Your device has malware. Please install TeamViewer and share the code.,Scammers pose as tech support agents to gain remote access and demand payment after pretending to 'fix' fake issues.,English,"Remote access, payment",WhatsApp
2716,WhatsApp Account Hacking Scam,"Hey, this is Hrishita. I accidentally sent my OTP to your number. Can you send it to me quickly?",A scammer pretends to be a friend and tricks victims into sharing the OTP meant to hijack their WhatsApp account.,English,OTP,WhatsApp
2717,WhatsApp Lottery/Prize Scam,"Congratulations! You've won ₹2091 in the WhatsApp Mega Draw. To claim, send your full name, bank account number, and Aadhaar to +913355827096.",Victims receive fake prize messages and are asked for personal or banking info to claim the prize.,English,"Bank details, Aadhaar card",WhatsApp
2718,Cryptocurrency Investment Scam,Invest ₹89188 in our crypto plan and get ₹43099 in a week. Limited slots!,"Victims are lured with promises of high returns on crypto investments, but the scammers vanish with the money.",English,Initial investment,WhatsApp
2719,Tax Refund Scam,Your tax refund of ₹54441 is ready. Click here to verify your info: http://sabharwal.com,Fraudsters impersonate tax authorities and request personal details or payments to process fake refunds.,English,"Bank details, OTP",WhatsApp
2720,Fake Technical Support Scam,This is Miraan from Kashyap Group Support. Your device has malware. Please install TeamViewer and share the code.,Scammers pose as tech support agents to gain remote access and demand payment after pretending to 'fix' fake issues.,English,"Remote access, payment",WhatsApp
2721,Fake Technical Support Scam,This is Damini from Chanda-Kapadia Support. Your device has malware. Please install TeamViewer and share the code.,Scammers pose as tech support agents to gain remote access and demand payment after pretending to 'fix' fake issues.,English,"Remote access, payment",WhatsApp
2722,Tax Refund Scam,Your tax refund of ₹76835 is ready. Click here to verify your info: http://mallick.net,Fraudsters impersonate tax authorities and request personal details or payments to process fake refunds.,English,"Bank details, OTP",WhatsApp
2723,SIM Card Replacement Scam,"Hi, this is Vi support. We're upgrading your SIM. Send your Aadhaar and OTP to continue.",The scammer initiates a SIM swap to gain control over the victim's phone number for fraud.,English,"Aadhaar, OTP",WhatsApp
2724,Fake Technical Support Scam,This is Uthkarsh from Kannan-Soni Support. Your device has malware. Please install TeamViewer and share the code.,Scammers pose as tech support agents to gain remote access and demand payment after pretending to 'fix' fake issues.,English,"Remote access, payment",WhatsApp
2725,UPI Scam,"Your SBI account is blocked. To unblock, pay ₹68479 to UPI ID: lakshaydave@upi.",Scammers impersonate banks and urge victims to make fake urgent payments via UPI.,English,UPI payment,WhatsApp
2726,Fake Loan Approval Scam,You are pre-approved for a ₹27668 loan. Pay ₹731 as a processing fee to receive the funds.,Scammers offer fake loans and ask for an upfront processing fee but never provide the loan.,English,Processing fee,WhatsApp
2727,Fake Charity/Donation Scam,We're raising funds for flood victims in Arunachal Pradesh. Please donate what you can to UPI ID: zraj@upi,Scammers impersonate charities and request urgent donations via UPI or bank transfer.,English,Donation via UPI,WhatsApp
2728,Tax Refund Scam,Your tax refund of ₹40734 is ready. Click here to verify your info: http://sahni-chana.com,Fraudsters impersonate tax authorities and request personal details or payments to process fake refunds.,English,"Bank details, OTP",WhatsApp
2729,Phishing Scam (Link Sharing),Your Axis account is at risk. Click here to verify your info: http://gara.net,Phishing links mimic legitimate websites and trick users into submitting sensitive data.,English,Bank login credentials,WhatsApp
2730,Fake E-commerce Scam,Get Smartwatch for just ₹59226. DM on WhatsApp to order now. Prepay to confirm.,"Fraudsters advertise too-good-to-be-true deals, take money, and disappear or send fake products.",English,Online payment,WhatsApp
2731,WhatsApp Account Hacking Scam,"Hey, this is Lakshit. I accidentally sent my OTP to your number. Can you send it to me quickly?",A scammer pretends to be a friend and tricks victims into sharing the OTP meant to hijack their WhatsApp account.,English,OTP,WhatsApp
2732,UPI Scam,"Your HDFC account is blocked. To unblock, pay ₹79762 to UPI ID: sarnaprisha@upi.",Scammers impersonate banks and urge victims to make fake urgent payments via UPI.,English,UPI payment,WhatsApp
2733,Tax Refund Scam,Your tax refund of ₹73061 is ready. Click here to verify your info: http://johal.com,Fraudsters impersonate tax authorities and request personal details or payments to process fake refunds.,English,"Bank details, OTP",WhatsApp
2734,Fake E-commerce Scam,Get iPhone 13 for just ₹47678. DM on WhatsApp to order now. Prepay to confirm.,"Fraudsters advertise too-good-to-be-true deals, take money, and disappear or send fake products.",English,Online payment,WhatsApp
2735,Friend in Distress Scam,"Hey, it's Sahil. I'm stuck in Bardhaman and need ₹63574 urgently. Can you UPI me?",Impersonators pretend to be friends in trouble and ask for emergency funds via UPI or bank transfer.,English,UPI transfer,WhatsApp
2736,Fake Technical Support Scam,This is Rohan from Karan Inc Support. Your device has malware. Please install TeamViewer and share the code.,Scammers pose as tech support agents to gain remote access and demand payment after pretending to 'fix' fake issues.,English,"Remote access, payment",WhatsApp
2737,Fake Discount/Refund Scam,You are eligible for a ₹35480 refund from Rana and Sons. Please share your bank details to process it.,Scammers impersonate companies and request bank details to 'process' fake refunds.,English,Bank details,WhatsApp
2738,WhatsApp Account Hacking Scam,"Hey, this is Hansh. I accidentally sent my OTP to your number. Can you send it to me quickly?",A scammer pretends to be a friend and tricks victims into sharing the OTP meant to hijack their WhatsApp account.,English,OTP,WhatsApp
2739,Fake Technical Support Scam,This is Divit from Joshi Inc Support. Your device has malware. Please install TeamViewer and share the code.,Scammers pose as tech support agents to gain remote access and demand payment after pretending to 'fix' fake issues.,English,"Remote access, payment",WhatsApp
2740,Cryptocurrency Investment Scam,Invest ₹99543 in our crypto plan and get ₹23202 in a week. Limited slots!,"Victims are lured with promises of high returns on crypto investments, but the scammers vanish with the money.",English,Initial investment,WhatsApp
2741,Fake Technical Support Scam,This is Zara from Sanghvi-Singhal Support. Your device has malware. Please install TeamViewer and share the code.,Scammers pose as tech support agents to gain remote access and demand payment after pretending to 'fix' fake issues.,English,"Remote access, payment",WhatsApp
2742,SIM Card Replacement Scam,"Hi, this is Jio support. We're upgrading your SIM. Send your Aadhaar and OTP to continue.",The scammer initiates a SIM swap to gain control over the victim's phone number for fraud.,English,"Aadhaar, OTP",WhatsApp
2743,SIM Card Replacement Scam,"Hi, this is Airtel support. We're upgrading your SIM. Send your Aadhaar and OTP to continue.",The scammer initiates a SIM swap to gain control over the victim's phone number for fraud.,English,"Aadhaar, OTP",WhatsApp
2744,UPI Scam,"Your Axis account is blocked. To unblock, pay ₹53247 to UPI ID: mamootybhakta@upi.",Scammers impersonate banks and urge victims to make fake urgent payments via UPI.,English,UPI payment,WhatsApp
2745,Cryptocurrency Investment Scam,Invest ₹84069 in our crypto plan and get ₹91391 in a week. Limited slots!,"Victims are lured with promises of high returns on crypto investments, but the scammers vanish with the money.",English,Initial investment,WhatsApp
2746,SIM Card Replacement Scam,"Hi, this is Airtel support. We're upgrading your SIM. Send your Aadhaar and OTP to continue.",The scammer initiates a SIM swap to gain control over the victim's phone number for fraud.,English,"Aadhaar, OTP",WhatsApp
2747,Phishing Scam (Link Sharing),Your Axis account is at risk. Click here to verify your info: http://kothari.net,Phishing links mimic legitimate websites and trick users into submitting sensitive data.,English,Bank login credentials,WhatsApp
2748,WhatsApp Account Hacking Scam,"Hey, this is Tejas. I accidentally sent my OTP to your number. Can you send it to me quickly?",A scammer pretends to be a friend and tricks victims into sharing the OTP meant to hijack their WhatsApp account.,English,OTP,WhatsApp
2749,Fake E-commerce Scam,Get Laptop for just ₹97814. DM on WhatsApp to order now. Prepay to confirm.,"Fraudsters advertise too-good-to-be-true deals, take money, and disappear or send fake products.",English,Online payment,WhatsApp
2750,Fake Loan Approval Scam,You are pre-approved for a ₹48452 loan. Pay ₹739 as a processing fee to receive the funds.,Scammers offer fake loans and ask for an upfront processing fee but never provide the loan.,English,Processing fee,WhatsApp
2751,Fake Charity/Donation Scam,We're raising funds for flood victims in Uttarakhand. Please donate what you can to UPI ID: dhillonriya@upi,Scammers impersonate charities and request urgent donations via UPI or bank transfer.,English,Donation via UPI,WhatsApp
2752,Phishing Scam (Link Sharing),Your SBI account is at risk. Click here to verify your info: http://ramesh.com,Phishing links mimic legitimate websites and trick users into submitting sensitive data.,English,Bank login credentials,WhatsApp
2753,Cryptocurrency Investment Scam,Invest ₹48045 in our crypto plan and get ₹36012 in a week. Limited slots!,"Victims are lured with promises of high returns on crypto investments, but the scammers vanish with the money.",English,Initial investment,WhatsApp
2754,Fake Job Offer Scam,"Hi, this is Oorja from HR at Dutt-Sanghvi. You've been shortlisted for a remote role. Pay ₹511 as a registration fee.",Fraudsters pretend to be from well-known companies and ask for money upfront for fake jobs.,English,Payment for registration,WhatsApp
2755,Fake Technical Support Scam,"This is Divij from Arora, Singh and Kapur Support. Your device has malware. Please install TeamViewer and share the code.",Scammers pose as tech support agents to gain remote access and demand payment after pretending to 'fix' fake issues.,English,"Remote access, payment",WhatsApp
2756,Fake Discount/Refund Scam,You are eligible for a ₹86415 refund from Sarraf-Ahuja. Please share your bank details to process it.,Scammers impersonate companies and request bank details to 'process' fake refunds.,English,Bank details,WhatsApp
2757,UPI Scam,"Your Axis account is blocked. To unblock, pay ₹62004 to UPI ID: hrishitadass@upi.",Scammers impersonate banks and urge victims to make fake urgent payments via UPI.,English,UPI payment,WhatsApp
2758,Cryptocurrency Investment Scam,Invest ₹28988 in our crypto plan and get ₹40454 in a week. Limited slots!,"Victims are lured with promises of high returns on crypto investments, but the scammers vanish with the money.",English,Initial investment,WhatsApp
2759,Tax Refund Scam,Your tax refund of ₹50211 is ready. Click here to verify your info: http://dhawan.com,Fraudsters impersonate tax authorities and request personal details or payments to process fake refunds.,English,"Bank details, OTP",WhatsApp
2760,Fake Technical Support Scam,"This is Samiha from Agrawal, Mall and Lall Support. Your device has malware. Please install TeamViewer and share the code.",Scammers pose as tech support agents to gain remote access and demand payment after pretending to 'fix' fake issues.,English,"Remote access, payment",WhatsApp
2761,WhatsApp Account Hacking Scam,"Hey, this is Romil. I accidentally sent my OTP to your number. Can you send it to me quickly?",A scammer pretends to be a friend and tricks victims into sharing the OTP meant to hijack their WhatsApp account.,English,OTP,WhatsApp
2762,Fake E-commerce Scam,Get Smartwatch for just ₹37070. DM on WhatsApp to order now. Prepay to confirm.,"Fraudsters advertise too-good-to-be-true deals, take money, and disappear or send fake products.",English,Online payment,WhatsApp
2763,UPI Scam,"Your ICICI account is blocked. To unblock, pay ₹31176 to UPI ID: kaira06@upi.",Scammers impersonate banks and urge victims to make fake urgent payments via UPI.,English,UPI payment,WhatsApp
2764,Fake Technical Support Scam,This is Chirag from Bajwa-Ganesh Support. Your device has malware. Please install TeamViewer and share the code.,Scammers pose as tech support agents to gain remote access and demand payment after pretending to 'fix' fake issues.,English,"Remote access, payment",WhatsApp
2765,Fake Charity/Donation Scam,We're raising funds for flood victims in Karnataka. Please donate what you can to UPI ID: hridaansetty@upi,Scammers impersonate charities and request urgent donations via UPI or bank transfer.,English,Donation via UPI,WhatsApp
2766,WhatsApp Lottery/Prize Scam,"Congratulations! You've won ₹73579 in the WhatsApp Mega Draw. To claim, send your full name, bank account number, and Aadhaar to +919774587373.",Victims receive fake prize messages and are asked for personal or banking info to claim the prize.,English,"Bank details, Aadhaar card",WhatsApp
2767,Fake Job Offer Scam,"Hi, this is Inaaya  from HR at Desai-Yohannan. You've been shortlisted for a remote role. Pay ₹850 as a registration fee.",Fraudsters pretend to be from well-known companies and ask for money upfront for fake jobs.,English,Payment for registration,WhatsApp
2768,UPI Scam,"Your ICICI account is blocked. To unblock, pay ₹94609 to UPI ID: bailparinaaz@upi.",Scammers impersonate banks and urge victims to make fake urgent payments via UPI.,English,UPI payment,WhatsApp
2769,Cryptocurrency Investment Scam,Invest ₹92353 in our crypto plan and get ₹45036 in a week. Limited slots!,"Victims are lured with promises of high returns on crypto investments, but the scammers vanish with the money.",English,Initial investment,WhatsApp
2770,WhatsApp Account Hacking Scam,"Hey, this is Jiya. I accidentally sent my OTP to your number. Can you send it to me quickly?",A scammer pretends to be a friend and tricks victims into sharing the OTP meant to hijack their WhatsApp account.,English,OTP,WhatsApp
2771,WhatsApp Lottery/Prize Scam,"Congratulations! You've won ₹67549 in the WhatsApp Mega Draw. To claim, send your full name, bank account number, and Aadhaar to 2213107913.",Victims receive fake prize messages and are asked for personal or banking info to claim the prize.,English,"Bank details, Aadhaar card",WhatsApp
2772,WhatsApp Account Hacking Scam,"Hey, this is Aradhya. I accidentally sent my OTP to your number. Can you send it to me quickly?",A scammer pretends to be a friend and tricks victims into sharing the OTP meant to hijack their WhatsApp account.,English,OTP,WhatsApp
2773,SIM Card Replacement Scam,"Hi, this is Airtel support. We're upgrading your SIM. Send your Aadhaar and OTP to continue.",The scammer initiates a SIM swap to gain control over the victim's phone number for fraud.,English,"Aadhaar, OTP",WhatsApp
2774,Phishing Scam (Link Sharing),Your HDFC account is at risk. Click here to verify your info: http://dhillon.net,Phishing links mimic legitimate websites and trick users into submitting sensitive data.,English,Bank login credentials,WhatsApp
2775,Fake Loan Approval Scam,You are pre-approved for a ₹27824 loan. Pay ₹896 as a processing fee to receive the funds.,Scammers offer fake loans and ask for an upfront processing fee but never provide the loan.,English,Processing fee,WhatsApp
2776,Cryptocurrency Investment Scam,Invest ₹50775 in our crypto plan and get ₹32024 in a week. Limited slots!,"Victims are lured with promises of high returns on crypto investments, but the scammers vanish with the money.",English,Initial investment,WhatsApp
2777,UPI Scam,"Your HDFC account is blocked. To unblock, pay ₹43458 to UPI ID: samarth98@upi.",Scammers impersonate banks and urge victims to make fake urgent payments via UPI.,English,UPI payment,WhatsApp
2778,Fake Job Offer Scam,"Hi, this is Himmat from HR at Rana Inc. You've been shortlisted for a remote role. Pay ₹333 as a registration fee.",Fraudsters pretend to be from well-known companies and ask for money upfront for fake jobs.,English,Payment for registration,WhatsApp
2779,Cryptocurrency Investment Scam,Invest ₹79551 in our crypto plan and get ₹43358 in a week. Limited slots!,"Victims are lured with promises of high returns on crypto investments, but the scammers vanish with the money.",English,Initial investment,WhatsApp
2780,Fake E-commerce Scam,Get iPhone 13 for just ₹71326. DM on WhatsApp to order now. Prepay to confirm.,"Fraudsters advertise too-good-to-be-true deals, take money, and disappear or send fake products.",English,Online payment,WhatsApp
2781,UPI Scam,"Your SBI account is blocked. To unblock, pay ₹51775 to UPI ID: manianay@upi.",Scammers impersonate banks and urge victims to make fake urgent payments via UPI.,English,UPI payment,WhatsApp
2782,Fake Loan Approval Scam,You are pre-approved for a ₹72037 loan. Pay ₹599 as a processing fee to receive the funds.,Scammers offer fake loans and ask for an upfront processing fee but never provide the loan.,English,Processing fee,WhatsApp
2783,Friend in Distress Scam,"Hey, it's Suhana. I'm stuck in Rajpur Sonarpur and need ₹7839 urgently. Can you UPI me?",Impersonators pretend to be friends in trouble and ask for emergency funds via UPI or bank transfer.,English,UPI transfer,WhatsApp
2784,SIM Card Replacement Scam,"Hi, this is Airtel support. We're upgrading your SIM. Send your Aadhaar and OTP to continue.",The scammer initiates a SIM swap to gain control over the victim's phone number for fraud.,English,"Aadhaar, OTP",WhatsApp
2785,WhatsApp Account Hacking Scam,"Hey, this is Ishita. I accidentally sent my OTP to your number. Can you send it to me quickly?",A scammer pretends to be a friend and tricks victims into sharing the OTP meant to hijack their WhatsApp account.,English,OTP,WhatsApp
2786,Cryptocurrency Investment Scam,Invest ₹70995 in our crypto plan and get ₹73173 in a week. Limited slots!,"Victims are lured with promises of high returns on crypto investments, but the scammers vanish with the money.",English,Initial investment,WhatsApp
2787,Fake E-commerce Scam,Get Smartwatch for just ₹4511. DM on WhatsApp to order now. Prepay to confirm.,"Fraudsters advertise too-good-to-be-true deals, take money, and disappear or send fake products.",English,Online payment,WhatsApp
2788,Friend in Distress Scam,"Hey, it's Eshani. I'm stuck in Bellary and need ₹6754 urgently. Can you UPI me?",Impersonators pretend to be friends in trouble and ask for emergency funds via UPI or bank transfer.,English,UPI transfer,WhatsApp
2789,UPI Scam,"Your SBI account is blocked. To unblock, pay ₹32100 to UPI ID: rameshuthkarsh@upi.",Scammers impersonate banks and urge victims to make fake urgent payments via UPI.,English,UPI payment,WhatsApp
2790,Friend in Distress Scam,"Hey, it's Ryan. I'm stuck in Nellore and need ₹29064 urgently. Can you UPI me?",Impersonators pretend to be friends in trouble and ask for emergency funds via UPI or bank transfer.,English,UPI transfer,WhatsApp
2791,Fake E-commerce Scam,Get AirPods Pro for just ₹54553. DM on WhatsApp to order now. Prepay to confirm.,"Fraudsters advertise too-good-to-be-true deals, take money, and disappear or send fake products.",English,Online payment,WhatsApp
2792,Fake E-commerce Scam,Get Smartwatch for just ₹87840. DM on WhatsApp to order now. Prepay to confirm.,"Fraudsters advertise too-good-to-be-true deals, take money, and disappear or send fake products.",English,Online payment,WhatsApp
2793,Phishing Scam (Link Sharing),Your SBI account is at risk. Click here to verify your info: http://sagar.com,Phishing links mimic legitimate websites and trick users into submitting sensitive data.,English,Bank login credentials,WhatsApp
2794,WhatsApp Account Hacking Scam,"Hey, this is Vihaan. I accidentally sent my OTP to your number. Can you send it to me quickly?",A scammer pretends to be a friend and tricks victims into sharing the OTP meant to hijack their WhatsApp account.,English,OTP,WhatsApp
2795,Fake Discount/Refund Scam,You are eligible for a ₹85713 refund from Ghosh-Khosla. Please share your bank details to process it.,Scammers impersonate companies and request bank details to 'process' fake refunds.,English,Bank details,WhatsApp
2796,WhatsApp Account Hacking Scam,"Hey, this is Nitara. I accidentally sent my OTP to your number. Can you send it to me quickly?",A scammer pretends to be a friend and tricks victims into sharing the OTP meant to hijack their WhatsApp account.,English,OTP,WhatsApp
